event_id,customer_id,product_id,event_type,timestamp,device,location
1,534,5601,purchase,2025-07-28 02:09:41,desktop,Stephanieland
2,342,2140,purchase,2025-08-25 04:51:00,tablet,Stevefort
3,654,16687,wishlist,2024-08-16 04:45:36,desktop,Shermanton
4,515,29522,remove_from_cart,2024-08-02 03:30:17,desktop,Ronaldview
5,793,22682,review,2024-06-13 20:57:09,mobile,Lake Carriemouth
6,724,29208,remove_from_cart,2024-12-08 22:41:02,mobile,New Aaron
7,100,21921,view_product,2025-11-30 17:10:17,tablet,North Alicia
8,118,11562,wishlist,2024-11-26 00:11:18,tablet,Johnborough
9,839,29251,add_to_cart,2024-04-26 00:46:29,mobile,Lake Ashley
10,800,1670,wishlist,2024-04-09 07:01:36,desktop,Carlosside
11,715,14765,wishlist,2025-04-24 23:14:17,desktop,Hawkinsfort
12,169,9257,wishlist,2025-03-01 16:40:49,mobile,Port Eric
13,880,17697,add_to_cart,2024-05-02 00:43:25,desktop,Port Taylorburgh
14,429,4978,wishlist,2024-06-26 09:22:18,mobile,Stevenview
15,767,6563,purchase,2025-10-09 09:45:11,desktop,Dominicville
16,402,12304,remove_from_cart,2025-06-18 03:14:54,mobile,North Kimberlymouth
17,771,10288,wishlist,2024-05-18 02:54:38,desktop,Katrinaton
18,55,22807,wishlist,2025-07-08 08:14:08,tablet,Port Angelaview
19,629,5372,remove_from_cart,2024-11-29 16:23:16,tablet,North Madisonville
20,916,22974,wishlist,2025-09-28 07:13:05,tablet,Floreschester
21,127,27660,add_to_cart,2026-02-25 12:34:41,desktop,Stephenborough
22,61,21083,review,2024-09-29 05:34:52,tablet,Erictown
23,188,18400,remove_from_cart,2024-02-29 23:31:27,tablet,Gatesburgh
24,775,5799,wishlist,2024-12-23 11:07:41,tablet,East Lisa
25,544,24703,remove_from_cart,2025-04-11 00:38:15,desktop,East Samantha
26,747,2999,remove_from_cart,2024-10-23 04:05:45,mobile,Lake Rebeccaview
27,775,27276,review,2024-04-24 15:16:29,mobile,Singhstad
28,703,18684,view_product,2025-07-24 03:12:23,tablet,Amandaburgh
29,914,3521,purchase,2024-11-19 02:48:18,desktop,Gonzalezshire
30,798,29987,remove_from_cart,2025-08-17 03:48:16,mobile,Port Anthony
31,452,3100,remove_from_cart,2025-05-17 01:25:18,desktop,Sanchezstad
32,924,7364,view_product,2025-07-23 15:42:20,desktop,East Jeffreyfurt
33,458,1591,purchase,2024-04-22 15:54:07,mobile,West Trevorfort
34,903,26680,review,2024-09-23 09:53:54,tablet,Leetown
35,642,8018,remove_from_cart,2024-09-07 19:49:16,mobile,South Richard
36,631,18956,wishlist,2025-03-10 10:26:49,desktop,West Kristenmouth
37,457,8154,add_to_cart,2025-04-22 15:19:35,desktop,East Earl
38,19,17745,review,2025-07-02 01:13:52,desktop,Nicholasmouth
39,503,26266,review,2024-06-17 19:27:23,desktop,East Angela
40,571,20585,remove_from_cart,2025-08-29 11:19:24,tablet,Lake Joseph
41,160,3041,view_product,2025-06-09 03:59:48,tablet,Nicholasmouth
42,925,27074,wishlist,2024-11-29 22:55:16,desktop,Paulmouth
43,753,1611,review,2025-04-19 12:11:40,mobile,Weberfurt
44,252,18210,add_to_cart,2024-03-13 23:23:06,desktop,Williamfurt
45,966,1512,purchase,2025-07-11 01:32:17,mobile,East Donna
46,303,5853,view_product,2024-09-28 12:04:49,tablet,East Jeffreyberg
47,543,17569,remove_from_cart,2024-08-27 23:58:28,desktop,Butlerfort
48,730,30576,wishlist,2025-08-01 13:29:49,desktop,North Mitchell
49,718,17280,view_product,2025-02-03 19:23:06,desktop,Caseyshire
50,276,13252,remove_from_cart,2024-04-29 12:39:37,tablet,East Corey
51,114,19724,review,2025-02-06 05:12:57,mobile,South Hannah
52,71,26621,wishlist,2026-02-01 07:00:28,mobile,Sherribury
53,124,5297,remove_from_cart,2024-10-27 10:02:53,mobile,West Mikemouth
54,462,15360,review,2025-03-10 23:02:31,tablet,Lake Kristin
55,916,17022,add_to_cart,2025-11-07 03:52:51,desktop,Davidborough
56,778,20329,add_to_cart,2025-12-24 18:31:38,mobile,East Harry
57,841,11099,review,2025-09-12 07:26:47,tablet,Scottshire
58,815,23830,review,2024-09-22 02:28:43,desktop,Davismouth
59,209,28906,wishlist,2024-06-22 11:03:08,mobile,Davidton
60,208,7060,add_to_cart,2024-04-08 04:45:18,tablet,Kevinshire
61,613,8493,purchase,2024-11-09 10:29:05,desktop,South Christopherton
62,923,2996,review,2024-07-26 09:29:07,desktop,Deanfort
63,438,7509,review,2024-08-14 01:39:15,desktop,North Samanthatown
64,210,4619,purchase,2025-08-04 18:44:34,tablet,Port Jeff
65,25,15984,purchase,2024-03-24 05:06:16,tablet,East Jeff
66,738,3770,review,2025-07-09 20:25:05,mobile,Kimberlyborough
67,518,8952,review,2025-02-26 20:12:53,tablet,Lake Jessicafort
68,968,4110,view_product,2025-01-13 06:30:48,desktop,Lindseyside
69,88,529,add_to_cart,2024-05-25 00:47:23,tablet,Longstad
70,666,7308,add_to_cart,2024-10-19 22:20:44,desktop,Parkerville
71,757,16247,remove_from_cart,2025-12-17 13:25:25,mobile,Smithberg
72,440,11015,view_product,2025-04-12 16:20:49,desktop,Porterberg
73,153,12877,review,2025-03-16 15:59:31,mobile,Eatonchester
74,809,12918,review,2024-02-29 20:36:13,desktop,Michaelborough
75,629,27766,add_to_cart,2025-12-10 02:33:16,tablet,West Edward
76,12,24647,remove_from_cart,2024-03-30 04:30:27,desktop,East Kirk
77,220,9621,view_product,2024-06-19 17:09:12,mobile,South Douglasbury
78,291,22663,view_product,2025-04-21 20:29:23,desktop,Port Alexanderville
79,262,20081,review,2024-06-24 00:37:40,mobile,Melissaland
80,847,22240,purchase,2024-09-18 15:53:13,mobile,New Chadmouth
81,655,2301,wishlist,2024-03-02 03:22:21,desktop,Debrabury
82,774,21801,wishlist,2024-09-10 13:17:48,desktop,Heidimouth
83,268,1451,review,2024-10-12 20:19:37,desktop,West Dianehaven
84,923,26561,wishlist,2024-04-13 05:24:40,tablet,Phillipsland
85,493,6410,add_to_cart,2024-08-22 14:12:38,desktop,North Andrew
86,603,24864,remove_from_cart,2025-10-25 01:00:03,desktop,Stevensland
87,143,25630,add_to_cart,2024-07-12 06:06:10,tablet,Colemanside
88,870,9012,remove_from_cart,2025-02-08 17:41:38,tablet,Port Shaneshire
89,239,14093,add_to_cart,2024-03-02 10:36:44,tablet,New Kevinbury
90,79,15727,view_product,2024-06-30 06:00:14,tablet,Lake Brandonberg
91,45,23364,wishlist,2024-12-28 11:53:58,desktop,Darrenport
92,928,26024,purchase,2025-12-16 00:53:25,tablet,Amymouth
93,574,15612,view_product,2024-04-30 02:37:51,tablet,Gabrielshire
94,475,26514,view_product,2024-03-28 14:27:17,tablet,Edwardsland
95,2,18817,remove_from_cart,2024-04-29 15:24:30,mobile,Suarezburgh
96,10,12651,wishlist,2024-04-13 14:21:18,tablet,Port Selena
97,195,16787,add_to_cart,2025-02-23 09:14:00,desktop,New Sara
98,219,23373,review,2024-10-23 15:06:17,tablet,Stevenshire
99,448,5560,view_product,2025-04-25 07:15:21,tablet,Angelatown
100,272,30274,remove_from_cart,2024-09-18 14:24:43,tablet,South Brittany
101,571,8394,remove_from_cart,2025-12-28 08:56:08,mobile,Williamshaven
102,248,15406,add_to_cart,2024-03-01 12:15:20,desktop,Johnborough
103,708,11100,wishlist,2025-01-05 04:40:00,tablet,West Melissaville
104,624,9460,add_to_cart,2025-01-02 00:41:18,mobile,North Joshua
105,290,9345,review,2024-05-26 04:01:50,mobile,Danielleside
106,952,25332,view_product,2025-03-29 21:44:50,tablet,Millerport
107,732,1521,remove_from_cart,2024-06-11 00:12:50,desktop,Martinezside
108,787,5085,add_to_cart,2024-11-12 03:27:08,desktop,South Tonyburgh
109,166,8126,review,2025-12-11 04:24:20,tablet,East Michelle
110,206,6013,purchase,2024-08-02 10:35:19,tablet,Brownfort
111,469,15161,review,2025-01-02 15:17:20,tablet,West Kimberg
112,626,5436,review,2025-02-25 12:33:14,mobile,Lake Rhondaport
113,624,22836,review,2025-07-31 04:32:14,desktop,Lake Nicolemouth
114,766,29951,review,2025-09-26 21:15:05,tablet,Lisaton
115,245,23113,wishlist,2025-12-03 18:07:43,tablet,New Edwardberg
116,810,30516,review,2025-06-07 23:48:05,tablet,West Elizabethshire
117,782,19066,review,2024-10-25 23:00:42,mobile,Port Michele
118,371,4835,view_product,2024-07-16 12:39:48,tablet,Port Natalieshire
119,408,10162,wishlist,2025-08-23 04:55:03,mobile,Kevinhaven
120,817,15735,remove_from_cart,2025-06-24 20:26:58,mobile,Cookstad
121,421,15400,view_product,2025-04-27 01:15:09,desktop,Hineshaven
122,722,10550,wishlist,2024-11-29 20:04:44,mobile,East Ashley
123,184,2025,review,2024-10-28 03:35:39,mobile,Riveraville
124,236,9660,remove_from_cart,2024-09-28 17:03:52,desktop,Jeffreyville
125,270,8001,wishlist,2024-06-13 06:22:15,mobile,West Calebhaven
126,129,19730,purchase,2025-10-15 10:27:18,desktop,South Joeland
127,707,970,view_product,2024-05-03 10:48:43,mobile,Lake Rebekahchester
128,96,8197,purchase,2025-12-01 20:25:54,mobile,Williamchester
129,859,23043,view_product,2024-07-05 19:07:24,mobile,Jimmyberg
130,646,10688,review,2025-12-15 14:15:38,tablet,East Christina
131,362,15555,purchase,2025-11-13 22:59:27,mobile,Juanburgh
132,89,14272,remove_from_cart,2024-10-06 18:15:04,tablet,West Peter
133,188,14919,remove_from_cart,2025-10-12 18:30:24,mobile,Ramosside
134,81,4663,wishlist,2025-03-08 11:10:35,desktop,North Susan
135,93,13216,add_to_cart,2024-10-16 01:32:23,tablet,Brittanymouth
136,62,2333,wishlist,2026-02-12 21:25:40,tablet,Brianshire
137,190,27973,view_product,2025-02-26 08:04:44,tablet,South Richard
138,190,2906,review,2025-08-08 09:18:07,desktop,Susanside
139,737,2986,wishlist,2025-12-02 03:29:49,mobile,Millerbury
140,310,21985,add_to_cart,2025-03-15 02:38:54,desktop,South Darren
141,150,3565,wishlist,2024-04-24 23:03:00,tablet,South Nicole
142,53,24394,wishlist,2024-08-19 10:57:29,desktop,Reneeland
143,323,7961,remove_from_cart,2025-09-27 14:03:11,desktop,Lopezview
144,90,21537,wishlist,2024-08-05 07:05:21,mobile,West Jeanettemouth
145,824,4408,purchase,2026-01-21 06:42:36,mobile,South Jennifer
146,556,15402,purchase,2026-01-27 01:03:26,desktop,Williamfort
147,609,4984,add_to_cart,2025-11-22 20:08:33,desktop,Robinside
148,347,23208,purchase,2025-05-12 13:16:50,mobile,New Donnabury
149,223,4163,add_to_cart,2025-02-20 12:42:27,tablet,South Johnstad
150,899,23398,review,2025-03-23 09:05:27,tablet,North Stephenstad
151,706,223,view_product,2025-09-20 07:00:51,desktop,North Robert
152,849,13957,remove_from_cart,2025-08-12 10:52:20,desktop,Lindashire
153,694,28553,purchase,2025-10-31 16:02:30,mobile,Maureenhaven
154,849,29063,view_product,2024-08-29 01:53:44,tablet,North Adam
155,870,14667,review,2025-09-02 21:16:34,tablet,Morganmouth
156,81,23215,purchase,2024-04-24 04:45:11,tablet,New Maria
157,517,25145,view_product,2025-08-05 19:33:15,tablet,Caitlinton
158,338,28219,review,2025-11-05 17:25:49,tablet,Port Christopher
159,997,3957,view_product,2024-03-29 06:08:45,tablet,Wardmouth
160,252,3849,review,2024-07-19 04:12:03,desktop,Loganhaven
161,104,20790,wishlist,2024-08-18 06:11:25,tablet,Brandiborough
162,344,2981,view_product,2024-10-03 04:28:31,desktop,New Selena
163,828,12570,review,2025-08-30 05:54:17,desktop,Marymouth
164,341,30172,review,2025-03-16 19:24:56,desktop,Morganville
165,850,29877,review,2024-10-08 03:55:59,desktop,South Samanthachester
166,946,17421,purchase,2025-10-29 08:45:40,tablet,South Jennyshire
167,978,13063,wishlist,2025-04-16 06:02:27,mobile,Fordville
168,432,29274,purchase,2025-08-24 03:56:00,tablet,North Annview
169,945,970,view_product,2025-09-06 17:34:44,desktop,Mcdonaldberg
170,818,24077,review,2024-05-20 00:35:59,tablet,Lake Toddport
171,565,26725,view_product,2024-06-19 21:21:21,desktop,Port Kathymouth
172,32,28135,view_product,2025-10-30 20:38:26,tablet,New Krista
173,999,9260,purchase,2024-05-14 03:03:13,mobile,Zunigafort
174,555,26485,view_product,2024-06-15 08:45:35,desktop,Ashleychester
175,976,21656,purchase,2025-03-29 16:48:53,desktop,Patrickton
176,623,12396,purchase,2025-12-19 14:37:40,mobile,Lake Mary
177,186,20908,add_to_cart,2024-04-30 13:33:41,desktop,Tashamouth
178,431,1915,wishlist,2025-10-06 00:57:18,mobile,Port Alex
179,65,14994,wishlist,2026-01-25 20:41:07,mobile,Lake Elizabeth
180,102,25881,add_to_cart,2024-03-17 15:03:55,desktop,North Melissamouth
181,42,18268,review,2025-02-12 00:06:02,desktop,Lake Tony
182,764,10953,view_product,2025-11-19 15:30:20,desktop,North Kellyborough
183,123,2495,wishlist,2025-08-29 04:49:21,tablet,Robertberg
184,48,15842,review,2024-09-25 10:05:03,tablet,Herreramouth
185,661,15681,add_to_cart,2025-08-02 15:27:23,tablet,Clarkmouth
186,516,13845,remove_from_cart,2025-08-21 16:43:54,mobile,South Joanne
187,134,18515,wishlist,2025-08-18 10:52:45,tablet,Sarahton
188,102,19036,purchase,2024-10-31 05:00:43,mobile,Michaelmouth
189,41,15539,add_to_cart,2025-12-25 08:09:36,mobile,New Kimborough
190,722,15237,review,2024-06-03 00:25:43,mobile,New Jeffton
191,324,12137,view_product,2025-06-09 20:34:35,desktop,North Angela
192,425,9235,purchase,2025-09-27 07:16:38,mobile,Timothyberg
193,595,23439,review,2025-06-12 11:12:54,mobile,Leahborough
194,804,12211,review,2025-04-13 18:17:15,tablet,Port Gary
195,329,4600,view_product,2025-02-13 05:01:24,mobile,South Hollyberg
196,308,22973,add_to_cart,2025-10-31 07:16:12,desktop,South Isabellafort
197,121,20022,review,2025-05-14 19:35:05,desktop,Port Kimberlyshire
198,838,3178,view_product,2024-05-24 01:01:16,desktop,Edwinberg
199,784,6531,review,2025-01-22 11:02:23,tablet,Laurahaven
200,641,30453,wishlist,2025-08-02 14:26:14,tablet,Lake Albertburgh
201,137,29823,purchase,2025-09-10 18:10:05,desktop,Michaelborough
202,803,9583,purchase,2025-12-11 05:51:12,desktop,Lake Sheilashire
203,862,21860,review,2025-08-17 03:21:13,mobile,East Robintown
204,578,10524,purchase,2025-07-30 13:41:29,tablet,West Maryview
205,682,14162,add_to_cart,2024-03-08 09:33:22,desktop,West Stephen
206,929,25767,add_to_cart,2025-03-30 23:06:05,tablet,Lake Carla
207,946,15769,remove_from_cart,2024-08-10 08:57:07,tablet,North Peter
208,540,28319,view_product,2025-05-18 09:33:51,mobile,East Jesus
209,304,7574,wishlist,2025-12-15 01:28:15,mobile,Bradleychester
210,923,20391,review,2024-10-05 23:47:32,mobile,Robinsonmouth
211,888,21828,review,2024-03-15 10:06:56,mobile,Port Michaelmouth
212,48,9256,view_product,2024-09-12 21:49:06,desktop,Smithport
213,676,7453,view_product,2025-08-04 04:54:01,tablet,South Lori
214,673,19935,purchase,2025-02-19 08:34:23,mobile,Shannonborough
215,701,6043,view_product,2024-03-12 14:17:53,desktop,East Donaldtown
216,739,22835,wishlist,2025-10-19 06:55:08,mobile,West Carmen
217,937,23427,remove_from_cart,2025-07-06 00:22:37,desktop,Katherinemouth
218,910,14726,add_to_cart,2024-07-20 04:45:36,tablet,Lake Jenniferfort
219,448,3322,remove_from_cart,2024-08-07 14:19:16,desktop,Chambersside
220,273,26820,remove_from_cart,2025-08-16 01:48:23,tablet,Lake Robertland
221,474,13490,wishlist,2025-03-24 01:42:16,mobile,Bennettstad
222,143,579,review,2024-10-16 11:06:01,mobile,Sextonstad
223,115,13868,add_to_cart,2025-10-28 23:40:34,desktop,New Mia
224,430,24197,add_to_cart,2024-07-31 08:58:37,tablet,East Sabrina
225,828,25157,wishlist,2025-04-27 14:28:52,mobile,Rodgersside
226,878,4320,view_product,2024-11-07 11:05:11,mobile,Jacobmouth
227,529,764,purchase,2025-06-05 09:14:21,tablet,Hartmanchester
228,276,18652,purchase,2025-05-13 21:16:31,mobile,Port Sarah
229,556,2795,wishlist,2025-11-16 12:36:47,tablet,Obrienshire
230,902,27134,purchase,2025-10-27 17:21:11,desktop,West Stevenhaven
231,999,28009,remove_from_cart,2025-12-27 09:17:44,mobile,Elizabethhaven
232,554,27175,remove_from_cart,2025-05-04 07:36:13,mobile,Jasontown
233,34,28677,review,2025-06-03 10:53:26,tablet,New Donnaville
234,173,16628,wishlist,2024-09-07 10:42:14,desktop,Davisfort
235,426,10689,remove_from_cart,2024-04-11 14:10:22,desktop,West Lisashire
236,127,22432,remove_from_cart,2025-01-12 19:18:48,tablet,Port Wanda
237,767,4253,view_product,2024-05-01 06:25:51,desktop,Glenburgh
238,433,20244,view_product,2024-12-05 14:16:17,tablet,Angelamouth
239,83,6479,wishlist,2024-12-17 21:06:17,desktop,North Darrellborough
240,883,28365,wishlist,2024-11-16 20:37:16,mobile,West Deanna
241,518,19032,review,2024-05-15 23:21:05,mobile,Burkechester
242,938,18341,add_to_cart,2024-07-15 08:12:11,desktop,Frostfurt
243,984,12997,add_to_cart,2025-11-01 19:47:06,mobile,Joanside
244,320,20705,add_to_cart,2025-03-13 02:33:14,mobile,Rebeccatown
245,870,27213,add_to_cart,2025-12-11 13:45:01,desktop,Matthewport
246,995,5108,purchase,2024-07-28 11:42:58,desktop,Allisonside
247,205,190,view_product,2025-12-01 15:48:28,mobile,South Courtneyside
248,222,3260,review,2024-09-12 17:06:56,mobile,North Hollyhaven
249,733,6195,review,2024-02-28 21:54:54,mobile,East Anthony
250,757,13017,review,2024-04-16 19:43:10,tablet,South Rogermouth
251,97,18674,view_product,2024-06-04 13:24:00,tablet,Brandtburgh
252,605,20020,purchase,2024-12-06 02:54:31,desktop,Romeroville
253,973,14566,remove_from_cart,2024-07-15 04:38:02,desktop,Brentland
254,489,27786,purchase,2025-01-26 04:24:47,mobile,Caldwellton
255,988,2377,view_product,2025-04-14 17:13:21,tablet,Scottchester
256,633,28728,view_product,2025-10-21 14:11:55,mobile,East Brandonburgh
257,335,26170,add_to_cart,2025-04-28 01:40:24,mobile,Haleyborough
258,514,3240,view_product,2025-02-23 16:18:31,mobile,North Alexandria
259,627,343,purchase,2024-04-30 22:13:23,tablet,West Jackie
260,448,26358,wishlist,2024-04-17 10:55:42,mobile,Heatherborough
261,160,11428,review,2025-04-04 17:25:48,mobile,Pricemouth
262,754,28537,purchase,2024-11-05 16:24:35,desktop,North Julia
263,555,21442,review,2025-08-07 02:52:54,mobile,Lake Richardbury
264,272,21872,wishlist,2024-07-31 23:53:30,tablet,South Samuelburgh
265,655,12509,remove_from_cart,2024-06-01 12:55:35,mobile,Victorton
266,183,13796,purchase,2025-09-08 14:53:50,desktop,Alexisfort
267,359,23106,view_product,2024-06-23 09:36:04,tablet,Dustinchester
268,949,15297,add_to_cart,2024-09-11 17:50:09,mobile,Hernandezchester
269,837,24853,wishlist,2025-12-06 23:49:36,mobile,West Carlos
270,897,18023,wishlist,2024-08-27 15:12:59,desktop,West Jenniferland
271,97,23090,wishlist,2025-04-25 07:10:25,mobile,Lake Michaelshire
272,754,7608,remove_from_cart,2025-11-15 08:11:13,tablet,Gonzalesville
273,83,25070,view_product,2024-11-20 01:37:24,tablet,Port Ashley
274,68,24260,remove_from_cart,2024-04-02 06:21:38,mobile,Lake Alexaburgh
275,703,22756,wishlist,2025-04-27 03:47:06,desktop,Lake Joy
276,312,25340,view_product,2024-08-09 17:16:35,mobile,North Cynthiaton
277,514,12535,add_to_cart,2024-03-31 19:42:17,desktop,North Claire
278,39,9957,purchase,2024-12-27 17:55:01,tablet,Reedview
279,325,5619,purchase,2024-09-13 11:23:37,mobile,Freemanfurt
280,668,12673,add_to_cart,2024-05-30 14:22:03,tablet,New Royton
281,698,5328,review,2025-12-22 02:28:48,mobile,South Troybury
282,77,11082,view_product,2024-04-18 17:14:48,tablet,South Stacey
283,812,6983,wishlist,2024-08-16 08:28:49,tablet,Michaelton
284,92,10070,review,2024-03-02 02:43:42,tablet,Paultown
285,864,12438,wishlist,2024-04-11 01:46:47,tablet,West Shannonton
286,74,28058,view_product,2025-05-26 21:07:22,desktop,New Michellemouth
287,613,22606,add_to_cart,2024-07-29 23:21:05,desktop,Port Michael
288,556,28221,view_product,2024-12-13 18:14:00,desktop,Leahshire
289,154,24394,remove_from_cart,2024-05-02 14:38:06,mobile,Thorntonshire
290,811,18024,remove_from_cart,2024-09-24 09:27:53,mobile,Colemanfurt
291,414,22268,purchase,2024-09-13 22:51:38,mobile,Port Tammyburgh
292,272,4368,review,2024-12-07 05:20:43,mobile,Kellimouth
293,845,3655,add_to_cart,2024-06-13 00:41:37,mobile,Laraside
294,413,7962,add_to_cart,2025-12-30 07:13:38,mobile,Simonfurt
295,841,28335,wishlist,2024-12-07 08:49:27,tablet,Lake Thomas
296,387,9843,purchase,2025-04-05 15:06:08,desktop,South Matthew
297,455,16417,review,2024-06-27 08:44:28,mobile,Port James
298,702,4673,purchase,2025-03-03 02:35:13,desktop,Hammondton
299,931,28162,view_product,2025-06-30 13:30:24,desktop,West Roger
300,622,18374,purchase,2024-09-01 22:16:44,mobile,Lake Allen
301,572,10596,add_to_cart,2024-12-07 02:37:32,desktop,Burkeshire
302,255,30510,remove_from_cart,2025-07-18 04:10:56,mobile,West Jeremybury
303,487,4085,purchase,2026-02-07 21:35:47,mobile,Port Justinchester
304,346,14127,add_to_cart,2025-05-31 07:56:19,desktop,North Samuel
305,144,26068,wishlist,2024-09-16 18:27:51,tablet,Millsview
306,937,16511,view_product,2024-07-20 09:21:02,desktop,Rachelstad
307,398,10190,add_to_cart,2025-10-04 22:01:49,tablet,Willisshire
308,744,26171,purchase,2025-02-19 22:53:12,tablet,South Erin
309,695,17816,wishlist,2024-09-14 18:35:20,mobile,South Kristen
310,607,13073,purchase,2024-04-15 22:05:47,desktop,West Danielstad
311,94,9789,view_product,2024-10-07 10:43:01,tablet,New Melissa
312,130,16833,add_to_cart,2025-08-08 14:33:39,desktop,West Charles
313,441,27065,view_product,2025-09-10 01:14:15,tablet,New Kevinborough
314,76,29408,add_to_cart,2025-03-15 23:22:31,desktop,North Tonya
315,527,25264,wishlist,2025-10-25 15:59:25,tablet,South Sean
316,170,2119,wishlist,2024-03-02 05:32:38,desktop,Jasonton
317,503,9009,review,2024-08-07 09:26:35,desktop,Kimberlyview
318,611,25847,wishlist,2025-11-03 19:09:14,mobile,West Aaron
319,618,16397,review,2026-01-11 09:35:35,tablet,Williamside
320,203,3497,add_to_cart,2025-04-19 17:43:34,mobile,Morganton
321,581,27228,review,2024-03-10 04:22:20,desktop,Mccarthymouth
322,936,6309,review,2025-07-06 11:28:19,desktop,Jeremyview
323,685,3541,add_to_cart,2025-06-01 15:03:20,tablet,Williamsview
324,702,25156,remove_from_cart,2024-08-24 22:07:28,desktop,Justinborough
325,83,25422,view_product,2024-03-23 23:04:25,tablet,Roblesside
326,58,6036,review,2024-07-04 06:22:44,tablet,Karenland
327,803,3222,review,2024-11-27 17:31:40,desktop,West Robert
328,920,385,remove_from_cart,2024-10-10 18:54:59,desktop,Jennifermouth
329,645,14809,add_to_cart,2024-11-16 16:22:52,desktop,North Nancyville
330,475,11727,remove_from_cart,2024-04-23 22:20:42,tablet,Garrisonburgh
331,430,26488,purchase,2024-03-30 14:17:29,tablet,Cindyborough
332,562,2653,wishlist,2026-01-14 12:24:33,mobile,Whitefurt
333,706,19907,remove_from_cart,2025-04-15 11:04:52,desktop,New Amandaton
334,238,8468,purchase,2025-08-22 19:22:27,tablet,South Amy
335,509,868,remove_from_cart,2024-11-26 02:13:48,mobile,Jenniferland
336,470,5272,wishlist,2024-09-13 14:10:08,desktop,North Jacqueline
