order_id,customer_id,product_id,quantity,order_date,total_price,status
1,757,26754,2,2025-05-15,1410,completed
2,338,3083,1,2026-02-07,689,cancelled
3,905,16145,1,2024-08-02,573,returned
4,387,17909,3,2025-09-16,1650,cancelled
5,160,7541,3,2024-05-05,2400,returned
6,60,28557,2,2025-05-02,1536,cancelled
7,115,7299,2,2026-01-22,1448,cancelled
8,52,14869,1,2025-10-28,578,returned
9,638,20125,1,2024-07-09,520,completed
10,480,4550,1,2025-08-21,213,returned
11,948,890,3,2026-01-06,918,completed
12,531,14549,3,2024-05-19,1308,completed
13,576,24607,2,2025-10-20,666,cancelled
14,667,20664,3,2025-05-18,1173,cancelled
15,557,662,3,2026-02-05,1197,completed
16,151,14103,3,2024-11-29,1110,returned
17,121,27374,1,2024-10-31,723,returned
18,978,17255,2,2024-09-17,706,completed
19,928,20736,3,2025-01-14,1713,returned
20,863,14537,1,2026-02-16,200,cancelled
21,728,11761,2,2024-12-15,1480,returned
22,57,18484,3,2026-01-20,987,cancelled
23,537,1408,1,2025-12-07,796,cancelled
24,4,19728,3,2026-02-13,2346,cancelled
25,914,4900,3,2024-05-22,1401,completed
26,790,9746,3,2024-04-20,1659,cancelled
27,962,7979,2,2024-07-08,542,completed
28,611,9043,1,2024-03-03,439,returned
29,496,19161,1,2024-03-16,700,cancelled
30,194,27223,2,2024-06-04,960,completed
31,364,14848,3,2024-07-04,1233,completed
32,563,21662,2,2025-10-07,1048,completed
33,191,20368,3,2024-07-22,1461,cancelled
34,865,13380,1,2024-08-01,335,returned
35,854,5332,3,2024-04-25,1230,cancelled
36,925,18401,3,2024-06-23,1911,cancelled
37,290,20178,2,2025-04-19,1444,cancelled
38,155,28122,3,2024-11-13,2259,completed
39,12,26785,1,2025-12-10,387,cancelled
40,809,26742,2,2024-08-25,466,returned
41,841,28458,2,2024-07-03,598,returned
42,137,20393,3,2024-05-15,999,completed
43,889,11909,1,2025-04-18,239,returned
44,571,10020,1,2025-01-06,250,returned
45,859,16473,1,2024-07-25,727,returned
46,715,14556,2,2025-02-05,478,completed
47,709,19289,1,2026-02-14,363,cancelled
48,855,29058,2,2025-06-29,452,completed
49,890,8765,3,2024-04-03,1452,cancelled
50,331,24640,2,2025-06-26,1380,returned
51,309,27514,2,2025-12-08,1162,returned
52,558,7996,1,2025-12-25,278,completed
53,119,915,3,2025-09-10,1788,returned
54,497,132,2,2025-10-19,448,cancelled
55,703,8550,3,2024-08-29,1950,cancelled
56,187,2633,3,2025-07-27,681,completed
57,275,12388,3,2025-02-01,2136,returned
58,523,4998,2,2025-10-29,1118,returned
59,31,10382,2,2025-01-05,1580,completed
60,357,16745,1,2025-10-24,559,cancelled
61,607,10686,2,2025-01-03,1528,completed
62,461,16105,1,2025-11-16,693,completed
63,148,30417,1,2024-04-27,690,returned
64,574,1847,3,2024-03-24,1158,cancelled
65,432,24091,3,2024-03-13,714,cancelled
66,992,28182,2,2024-07-31,1402,returned
67,42,6870,2,2024-04-29,1088,cancelled
68,322,13667,2,2025-06-27,840,completed
69,773,6933,1,2024-04-17,409,completed
70,249,19944,2,2024-04-21,540,completed
71,832,5905,2,2025-12-02,884,returned
72,256,7046,1,2024-11-14,208,cancelled
73,416,7021,3,2025-08-03,654,returned
74,887,25219,3,2025-11-06,1770,completed
75,801,14425,2,2024-03-05,958,completed
76,763,24552,2,2024-05-20,1170,completed
77,373,21629,1,2025-01-24,224,cancelled
78,194,14431,1,2024-11-04,680,returned
79,387,13571,2,2025-06-30,1008,returned
80,724,21362,2,2025-11-24,586,cancelled
81,156,28271,1,2026-01-31,764,cancelled
82,208,8386,3,2025-05-16,1953,completed
83,866,24560,3,2025-07-17,2292,returned
84,115,19485,2,2025-05-23,402,completed
85,764,22301,2,2025-07-04,654,cancelled
86,946,752,1,2025-08-10,231,cancelled
87,836,30744,3,2025-07-04,1041,returned
88,169,10632,2,2025-04-21,928,completed
89,759,6011,3,2024-07-09,1965,cancelled
90,610,3622,1,2025-07-20,778,cancelled
91,424,27035,1,2025-12-12,670,completed
92,622,30555,2,2024-12-06,530,cancelled
93,249,23484,3,2024-04-22,708,completed
94,104,6135,1,2025-01-29,410,completed
95,467,5153,2,2024-07-12,466,cancelled
96,106,24505,1,2025-03-08,655,completed
97,915,8681,3,2025-10-15,1695,cancelled
98,940,27090,2,2024-11-24,1034,completed
